Name;Edition;Qty;Rarity;Color;Cost;Type;P/T;Text;Comment
Arrest;RTR;2;U;W;2W;Enchantment - Aura;;"Enchant creature
Enchanted creature canﾒt attack or block, and its activated abilities canﾒt be activated.";
Righteous Charge;GTC;6;U;W;1WW;Sorcery;;Creatures you control get +2/+2 until end of turn.;
Temple Garden;RAV;1;R;Lnd;;Land - Forest Plains;;"#(%T: Add %G or %W to your mana pool.)#
As Temple Garden enters the battlefield, you may pay 2 life. If you donﾒt, Temple Garden enters the battlefield tapped.";
Godless Shrine;GTC;1;R;Lnd;;Land - Plains Swamp;;"#(%T: Add %W or %B to your mana pool.)#
As Godless Shrine enters the battlefield, you may pay 2 life. If you donﾒt, Godless Shrine enters the battlefield tapped.";
Illusionist's Bracers;GTC;1;R;Art;2;Artifact - Equipment;;"Whenever an ability of equipped creature is activated, if it isnﾒt a mana ability, copy that ability. You may choose new targets for the copy.
Equip %3";
Orzhov Basilica;GP;1;C;Lnd;;Land;;"Orzhov Basilica enters the battlefield tapped.
When Orzhov Basilica enters the battlefield, return a land you control to its ownerﾒs hand.
%T: Add %W%B to your mana pool.";
Lair Delve;AVR;1;C;G;2G;Sorcery;;Reveal the top two cards of your library. Put all creature and land cards revealed this way into your hand and the rest on the bottom of your library in any order.;
Geist Snatch;AVR;1;C;U;2UU;Instant;;Counter target creature spell. Put a 1/1 blue Spirit creature token with flying onto the battlefield.;
Ghoulflesh;AVR;1;C;B;B;Enchantment - Aura;;"Enchant creature
Enchanted creature gets -1/-1 and is a black Zombie in addition to its other colors and types.";
Zealous Strike;AVR;1;C;W;1W;Instant;;Target creature gets +2/+2 and gains first strike until end of turn.;
Sheltering Word;AVR;1;C;G;1G;Instant;;Target creature you control gains hexproof until end of turn. You gain life equal to that creatureﾒs toughness. #(A creature with hexproof canﾒt be the target of spells or abilities opponents control.)#;
Angel's Tomb;AVR;1;U;Art;3;Artifact;;Whenever a creature enters the battlefield under your control, you may have Angelﾒs Tomb become a 3/3 white Angel artifact creature with flying until end of turn.;
Rite of Ruin;AVR;1;R;R;5RR;Sorcery;;Choose an order for artifacts, creatures, and lands. Each player sacrifices one permanent of the first type, sacrifices two of the second type, then sacrifices three of the third type.;
Favor of the Woods;DKA;1;C;G;2G;Enchantment - Aura;;"Enchant creature
Whenever enchanted creature blocks, you gain 3 life.";
Artful Dodge;DKA;1;C;U;U;Sorcery;;"Target creature is unblockable this turn.
Flashback %U #(You may cast this card from your graveyard for its flashback cost. Then exile it.)#";
Gravepurge;DKA;1;C;B;2B;Instant;;"Put any number of target creature cards from your graveyard on top of your library.
Draw a card.";
Break of Day;DKA;1;C;W;1W;Instant;;"Creatures you control get +1/+1 until end of turn.
#Fateful hour# ﾗ If you have 5 or less life, those creatures also are indestructible this turn. #(Lethal damage and effects that say ﾓdestroyﾔ donﾒt destroy them.)#";
Undying Evil;DKA;1;C;B;B;Instant;;Target creature gains undying until end of turn. #(When it dies, if it had no +1/+1 counters on it, return it to the battlefield under its ownerﾒs control with a +1/+1 counter on it.)#;
Griptide;DKA;1;C;U;3U;Instant;;Put target creature on top of its ownerﾒs library.;
Lingering Souls;FNM;1;;W;2W;Sorcery;;"Put two 1/1 white Spirit creature tokens with flying onto the battlefield.
Flashback %1%B #(You may cast this card from your graveyard for its flashback cost. Then exile it.)#";
Frightful Delusion;ISD;1;C;U;2U;Instant;;Counter target spell unless its controller pays %1. That player discards a card.;
Cobbled Wings;ISD;1;C;Art;2;Artifact - Equipment;;"Equipped creature has flying.
Equip %1 #(%1: Attach to target creature you control. Equip only as a sorcery.)#";
Skeletal Grimace;ISD;1;C;B;1B;Enchantment - Aura;;"Enchant creature
Enchanted creature gets +1/+1 and has ﾓ%B: Regenerate this creature.ﾔ";
Gnaw to the Bone;ISD;1;C;G;2G;Instant;;"You gain 2 life for each creature card in your graveyard.
Flashback %2%G #(You may cast this card from your graveyard for its flashback cost. Then exile it.)#";
Ghostly Possession;ISD;1;C;W;2W;Enchantment - Aura;;"Enchant creature
Enchanted creature has flying.
Prevent all combat damage that would be dealt to and dealt by enchanted creature.";
Graveyard Shovel;ISD;1;U;Art;2;Artifact;;%2, %T: Target player exiles a card from his or her graveyard. If itﾒs a creature card, you gain 2 life.;
Silver-Inlaid Dagger;ISD;1;U;Art;1;Artifact - Equipment;;"Equipped creature gets +2/+0.
As long as equipped creature is a Human, it gets an additional +1/+0.
Equip %2";
Defy Death;AVR;1;U;W;3WW;Sorcery;;Return target creature card from your graveyard to the battlefield. If itﾒs an Angel, put two +1/+1 counters on it.;
