Comment,Name,Color,Text,P/T,Rarity,Edition,Cost,Stars,Qty,Type
,Arrest,W,"Enchant creature
Enchanted creature canﾒt attack or block, and its activated abilities canﾒt be activated.",,U,RTR,2W,5,2,Enchantment - Aura
,Righteous Charge,W,Creatures you control get +2/+2 until end of turn.,,U,GTC,1WW,2.867,6,Sorcery
,Temple Garden,Lnd,"#(%T: Add %G or %W to your mana pool.)#
As Temple Garden enters the battlefield, you may pay 2 life. If you donﾒt, Temple Garden enters the battlefield tapped.",,R,RAV,,4.274,1,Land - Forest Plains
,Godless Shrine,Lnd,"#(%T: Add %W or %B to your mana pool.)#
As Godless Shrine enters the battlefield, you may pay 2 life. If you donﾒt, Godless Shrine enters the battlefield tapped.",,R,GTC,,4.101,1,Land - Plains Swamp
,Illusionist's Bracers,Art,"Whenever an ability of equipped creature is activated, if it isnﾒt a mana ability, copy that ability. You may choose new targets for the copy.
Equip %3",,R,GTC,2,3.722,1,Artifact - Equipment
,Orzhov Basilica,Lnd,"Orzhov Basilica enters the battlefield tapped.
When Orzhov Basilica enters the battlefield, return a land you control to its ownerﾒs hand.
%T: Add %W%B to your mana pool.",,C,GP,,5,1,Land
,Lair Delve,G,Reveal the top two cards of your library. Put all creature and land cards revealed this way into your hand and the rest on the bottom of your library in any order.,,C,AVR,2G,1.743,1,Sorcery
,Geist Snatch,U,Counter target creature spell. Put a 1/1 blue Spirit creature token with flying onto the battlefield.,,C,AVR,2UU,2.321,1,Instant
,Ghoulflesh,B,"Enchant creature
Enchanted creature gets -1/-1 and is a black Zombie in addition to its other colors and types.",,C,AVR,B,1.484,1,Enchantment - Aura
,Zealous Strike,W,Target creature gets +2/+2 and gains first strike until end of turn.,,C,AVR,1W,2.690,1,Instant
,Sheltering Word,G,Target creature you control gains hexproof until end of turn. You gain life equal to that creatureﾒs toughness. #(A creature with hexproof canﾒt be the target of spells or abilities opponents control.)#,,C,AVR,1G,3.390,1,Instant
,Angel's Tomb,Art,"Whenever a creature enters the battlefield under your control, you may have Angelﾒs Tomb become a 3/3 white Angel artifact creature with flying until end of turn.",,U,AVR,3,5,1,Artifact
,Rite of Ruin,R,"Choose an order for artifacts, creatures, and lands. Each player sacrifices one permanent of the first type, sacrifices two of the second type, then sacrifices three of the third type.",,R,AVR,5RR,2.969,1,Sorcery
,Favor of the Woods,G,"Enchant creature
Whenever enchanted creature blocks, you gain 3 life.",,C,DKA,2G,0.994,1,Enchantment - Aura
,Artful Dodge,U,"Target creature is unblockable this turn.
Flashback %U #(You may cast this card from your graveyard for its flashback cost. Then exile it.)#",,C,DKA,U,3.675,1,Sorcery
,Gravepurge,B,"Put any number of target creature cards from your graveyard on top of your library.
Draw a card.",,C,DKA,2B,5,1,Instant
,Break of Day,W,"Creatures you control get +1/+1 until end of turn.
#Fateful hour# ﾗ If you have 5 or less life, those creatures also are indestructible this turn. #(Lethal damage and effects that say ﾓdestroyﾔ donﾒt destroy them.)#",,C,DKA,1W,3.070,1,Instant
,Undying Evil,B,"Target creature gains undying until end of turn. #(When it dies, if it had no +1/+1 counters on it, return it to the battlefield under its ownerﾒs control with a +1/+1 counter on it.)#",,C,DKA,B,3.884,1,Instant
,Griptide,U,Put target creature on top of its ownerﾒs library.,,C,DKA,3U,3.389,1,Instant
,Lingering Souls,W,"Put two 1/1 white Spirit creature tokens with flying onto the battlefield.
Flashback %1%B #(You may cast this card from your graveyard for its flashback cost. Then exile it.)#",,,FNM,2W,3.542,1,Sorcery
,Frightful Delusion,U,Counter target spell unless its controller pays %1. That player discards a card.,,C,ISD,2U,3.097,1,Instant
,Cobbled Wings,Art,"Equipped creature has flying.
Equip %1 #(%1: Attach to target creature you control. Equip only as a sorcery.)#",,C,ISD,2,3.023,1,Artifact - Equipment
,Skeletal Grimace,B,"Enchant creature
Enchanted creature gets +1/+1 and has ﾓ%B: Regenerate this creature.ﾔ",,C,ISD,1B,3.300,1,Enchantment - Aura
,Gnaw to the Bone,G,"You gain 2 life for each creature card in your graveyard.
Flashback %2%G #(You may cast this card from your graveyard for its flashback cost. Then exile it.)#",,C,ISD,2G,3.581,1,Instant
,Ghostly Possession,W,"Enchant creature
Enchanted creature has flying.
Prevent all combat damage that would be dealt to and dealt by enchanted creature.",,C,ISD,2W,3.405,1,Enchantment - Aura
,Graveyard Shovel,Art,"%2, %T: Target player exiles a card from his or her graveyard. If itﾒs a creature card, you gain 2 life.",,U,ISD,2,1.898,1,Artifact
,Silver-Inlaid Dagger,Art,"Equipped creature gets +2/+0.
As long as equipped creature is a Human, it gets an additional +1/+0.
Equip %2",,U,ISD,1,3.778,1,Artifact - Equipment
