name,white,blue,black,red,green,colorless,total,off,def
goblinArso,0,0,0,1,0,0,1,1,1
downsize,0,1,0,0,0,0,1,,
unsummon,0,1,0,0,0,0,1,,
jacesPhant,0,1,0,0,0,0,1,1,1
krakenHatc,0,1,0,0,0,0,1,0,4
krakenHatc,0,1,0,0,0,0,1,0,4
dispel,0,1,0,0,0,0,1,,
gremlinMin,0,0,0,0,0,1,1,,
scaldingDe,0,0,0,1,0,1,2,1,1
dragonHatc,0,0,0,1,0,1,2,0,1
pursuitOfF,0,0,0,1,0,1,2,,
reverberat,0,0,0,2,0,0,2,,
scaldingSp,0,0,0,1,0,1,2,,
scaldingSp,0,0,0,1,0,1,2,,
scaldingSp,0,0,0,1,0,1,2,,
goblinElec,0,1,0,1,0,0,2,2,2
goblinElec,0,1,0,1,0,0,2,2,2
nivixGuild,0,1,0,1,0,0,2,2,2
mindSculpt,0,1,0,0,0,1,2,,
inactionIn,0,1,0,0,0,1,2,,
essenceSca,0,1,0,0,0,1,2,,
riotDevils,0,0,0,1,0,2,3,2,3
flamesOfTh,0,0,0,1,0,2,3,,
weeDragona,0,1,0,1,0,1,3,1,3
windDrake,0,1,0,0,0,2,3,2,2
courtlyPro,0,1,0,0,0,2,3,1,1
goblinBatt,0,0,0,1,0,3,4,2,2
cobblebrut,0,0,0,1,0,3,4,5,2
furnaceWhe,0,0,0,2,0,2,4,2,2
bladetuskB,0,0,0,1,0,3,4,3,2
bladetuskB,0,0,0,1,0,3,4,3,2
essenceBac,0,1,0,1,0,2,4,,
mindRaven,0,2,0,0,0,2,4,2,2
vedalkenEn,0,1,0,0,0,3,4,1,4
sleep,0,2,0,0,0,2,4,,
batterhorn,0,0,0,1,0,4,5,4,3
fireElemen,0,0,0,2,0,3,5,5,4
chandrasFu,0,0,0,1,0,4,5,,
chandrasFu,0,0,0,1,0,4,5,,
crumblingC,0,0,0,0,0,5,5,7,4
saberclawG,0,0,0,0,0,5,5,4,2
archaeoman,0,2,0,0,0,2,4,1,2
switcheroo,0,1,0,0,0,4,5,,
explosiveI,0,0,0,1,0,5,6,,
isperiasSk,0,1,0,0,0,5,6,3,3
