name,white,blue,black,red,green,colorless,total,off,def
T Doomsyr,0,0,0,2,0,1,3,2,2
Songbirds,0,0,0,1,0,2,3,1,2
Bramble,0,2,0,0,0,3,5,4,4
Safeguard,0,0,0,1,0,2,3,3,1
Mercy,0,0,0,2,0,2,4,,
Nat End,0,1,0,0,0,2,3,,
Hawk,0,0,0,0,0,2,2,2,2
Healer,0,1,0,1,0,1,3,3,3
Tracker,0,2,0,0,0,1,3,2,1
Pledge,0,0,0,2,0,1,3,,
Spellbomb,0,0,0,0,0,1,1,1,1
Offering,0,0,0,1,0,1,2,,
Songbirds,0,0,0,1,0,2,3,1,2
Judgment,0,0,0,1,0,5,6,,
Souls,0,0,0,1,0,2,3,,
Guildmage,0,1,0,1,0,0,2,2,2
Ranger,0,1,0,0,0,2,3,2,2
Townsfolk,0,0,0,1,0,1,2,,
Scout,0,1,0,0,0,0,1,1,1
Demystify,0,0,0,1,0,0,1,,
Pacifism,0,0,0,1,0,1,2,,
Blockade,0,0,0,1,0,2,3,,
Harvest,0,1,0,0,0,4,5,,
Pacifism,0,0,0,1,0,1,2,,
Urban,0,1,0,0,0,0,1,,
Caravan,0,1,0,0,0,0,1,,
D Beetle,0,1,0,0,0,1,2,2,2
Reunion,0,1,0,1,0,0,2,,
Coursers,0,1,0,1,0,4,6,,
Tithe,0,0,0,1,0,1,2,,
Fog,0,1,0,0,0,0,1,,
Ranger,0,1,0,0,0,2,3,2,2
Pacifism,0,0,0,1,0,1,2,,
Visit,0,0,0,1,0,0,1,,
Eyes,0,0,0,1,0,3,4,,
ledgewalk,0,1,0,0,0,1,2,1,1
Farseek,0,1,0,0,0,1,2,,
B Beetle,0,1,0,0,0,0,1,0,1
Visionary,0,1,0,0,0,1,2,1,1
B Beetle,0,1,0,0,0,0,1,0,1
Captains,0,0,0,1,0,3,4,,
Rider,0,0,0,2,0,0,2,2,2
Slitherhed,0,1,0,0,0,0,1,1,1
Pinions,0,0,0,0,0,2,2,,
JadeMage,0,1,0,0,0,1,2,2,1
ledgewalk,0,1,0,0,0,1,2,1,1
PGeneral,0,0,0,1,0,3,4,2,3
PGuardian,0,0,0,1,0,0,1,0,3
SGrowth,0,0,0,1,0,1,2,,
Mercy,0,0,0,2,0,2,4,,
Songbirds,0,0,0,1,0,2,3,1,2
Visionary,0,1,0,0,0,1,2,1,1
Pilgrim,0,1,0,0,0,0,1,1,1
Visionary,0,1,0,0,0,1,2,1,1
Horizon,0,1,0,0,0,3,4,,
Horizon,0,1,0,0,0,3,4,,
Ranger,0,1,0,0,0,2,3,2,2
Pacifism,0,0,0,1,0,1,2,,
Attended,0,0,0,1,0,2,3,2,2
Bramble,0,2,0,0,0,3,5,4,4
Druids,0,1,0,0,0,1,2,,
Mercy,0,0,0,2,0,2,4,,
Flayer,0,0,0,0,0,1,1,,
DragonClaw,0,0,0,0,0,2,2,,
PGuardian,0,0,0,1,0,0,1,0,3
Haunting,0,0,0,1,0,2,3,,
Intangible,0,0,0,1,0,1,2,,
Cloudshift,0,0,0,1,0,0,1,,
Piper,0,1,0,0,0,3,4,1,1
Sanctifier,0,0,0,1,0,0,1,1,1
Immortal,0,0,0,0,0,1,1,,
